context,question,answers
System crashes during high-performance tasks,What is the main issue reported?,"{'text': ' ""hardware malfunction', 'answer_start': -1}"
Computer shuts off randomly,What is the main issue reported?,"{'text': ' ""hardware malfunction', 'answer_start': -1}"
Graphics card fails during rendering,What is the main issue reported?,"{'text': ' ""hardware malfunction', 'answer_start': -1}"
Motherboard failure symptoms present,What is the main issue reported?,"{'text': ' ""hardware malfunction', 'answer_start': -1}"
Ethernet cable unplugged message,What is the main issue reported?,"{'text': ' ""cable connection lost', 'answer_start': -1}"
Monitor not displaying due to loose VGA cable,What is the main issue reported?,"{'text': ' ""cable connection lost', 'answer_start': -1}"
Disconnected network cable error on server,What is the main issue reported?,"{'text': ' ""cable connection lost', 'answer_start': -1}"
Printer stopped after USB came loose,What is the main issue reported?,"{'text': ' ""cable connection lost', 'answer_start': -1}"
Audio driver issues causing no sound,What is the main issue reported?,"{'text': ' ""device driver outdated', 'answer_start': -1}"
"Touchscreen unresponsive, driver issue suspected",What is the main issue reported?,"{'text': ' ""device driver outdated', 'answer_start': -1}"
Wireless network card driver out of date,What is the main issue reported?,"{'text': ' ""device driver outdated', 'answer_start': -1}"
Video driver error after system update,What is the main issue reported?,"{'text': ' ""device driver outdated', 'answer_start': -1}"
Login failed with correct password,What is the main issue reported?,"{'text': ' ""incorrect credentials', 'answer_start': -1}"
Access denied with outdated user credentials,What is the main issue reported?,"{'text': ' ""incorrect credentials', 'answer_start': -1}"
Database access failure due to credential mismatch,What is the main issue reported?,"{'text': ' ""incorrect credentials', 'answer_start': -1}"
Security credentials not recognized during remote login,What is the main issue reported?,"{'text': ' ""incorrect credentials', 'answer_start': -1}"
Video player requires additional software plugin,What is the main issue reported?,"{'text': ' ""software plugin is not installed', 'answer_start': -1}"
Web conferencing tool asks for plugin installation,What is the main issue reported?,"{'text': ' ""software plugin is not installed', 'answer_start': -1}"
Document editing software missing required plugin,What is the main issue reported?,"{'text': ' ""software plugin is not installed', 'answer_start': -1}"
Browser plugin required for online banking tool,What is the main issue reported?,"{'text': ' ""software plugin is not installed', 'answer_start': -1}"
Password reset failed due to server error,What is the main issue reported?,"{'text': ' ""failed to update password', 'answer_start': -1}"
User unable to update password on first attempt,What is the main issue reported?,"{'text': ' ""failed to update password', 'answer_start': -1}"
Failed password change on company portal,What is the main issue reported?,"{'text': ' ""failed to update password', 'answer_start': -1}"
Repeated failure notifications during password update,What is the main issue reported?,"{'text': ' ""failed to update password', 'answer_start': -1}"
Printer error 'paper jam' when trying to print high volume,What is the main issue reported?,"{'text': ' ""printer is malfunctioning', 'answer_start': -1}"
"Printer not printing, displaying 'service required'",What is the main issue reported?,"{'text': ' ""printer is malfunctioning', 'answer_start': -1}"
Printer error messages prevent job completion,What is the main issue reported?,"{'text': ' ""printer is malfunctioning', 'answer_start': -1}"
Printer stuck on 'warming up' indefinitely,What is the main issue reported?,"{'text': ' ""printer is malfunctioning', 'answer_start': -1}"
Ink cartridge empty warning despite recent replacement,What is the main issue reported?,"{'text': ' ""printer has run out of ink', 'answer_start': -1}"
"Printer color output very faint, likely ink issues",What is the main issue reported?,"{'text': ' ""printer has run out of ink', 'answer_start': -1}"
Black ink depleted faster than expected,What is the main issue reported?,"{'text': ' ""printer has run out of ink', 'answer_start': -1}"
"Printer refuses to print blue, indicates magenta low",What is the main issue reported?,"{'text': ' ""printer has run out of ink', 'answer_start': -1}"
"SAP login inaccessible, server down message",What is the main issue reported?,"{'text': ' ""SAP server is currently down', 'answer_start': -1}"
"Cannot retrieve data from SAP, server downtime ongoing",What is the main issue reported?,"{'text': ' ""SAP server is currently down', 'answer_start': -1}"
"SAP financial module unavailable, server maintenance",What is the main issue reported?,"{'text': ' ""SAP server is currently down', 'answer_start': -1}"
"SAP HR portal unresponsive, server outage suspected",What is the main issue reported?,"{'text': ' ""SAP server is currently down', 'answer_start': -1}"
"File server response timeout, critical operations delayed",What is the main issue reported?,"{'text': ' ""server is not responding', 'answer_start': -1}"
Database server stopped responding mid-query,What is the main issue reported?,"{'text': ' ""server is not responding', 'answer_start': -1}"
"Application server did not respond, timing out",What is the main issue reported?,"{'text': ' ""server is not responding', 'answer_start': -1}"
Media server dropped connection during streaming,What is the main issue reported?,"{'text': ' ""server is not responding', 'answer_start': -1}"
IT support requested for new account creation,What is the main issue reported?,"{'text': ' ""new service request is needed', 'answer_start': -1}"
New hardware request form needs submission,What is the main issue reported?,"{'text': ' ""new service request is needed', 'answer_start': -1}"
Requesting access to specialized software,What is the main issue reported?,"{'text': ' ""new service request is needed', 'answer_start': -1}"
Form submission required for additional network access,What is the main issue reported?,"{'text': ' ""new service request is needed', 'answer_start': -1}"
"Data inaccessible, network drive not responding",What is the main issue reported?,"{'text': ' ""network switch has failed', 'answer_start': -1}"
"Local area network down, suspect switch failure",What is the main issue reported?,"{'text': ' ""network switch has failed', 'answer_start': -1}"
"Switch lights off, network segment down",What is the main issue reported?,"{'text': ' ""network switch has failed', 'answer_start': -1}"
"Switch reboot required, connectivity issues detected",What is the main issue reported?,"{'text': ' ""network switch has failed', 'answer_start': -1}"
Emails not updating on phone,What is the main issue reported?,"{'text': ' ""email not syncing', 'answer_start': -1}"
Outlook fails to sync emails over Wi-Fi,What is the main issue reported?,"{'text': ' ""email not syncing', 'answer_start': -1}"
Sync issues with corporate email on mobile device,What is the main issue reported?,"{'text': ' ""email not syncing', 'answer_start': -1}"
Email client stuck on 'updating inbox',What is the main issue reported?,"{'text': ' ""email not syncing', 'answer_start': -1}"
VPN disconnects frequently during sessions,What is the main issue reported?,"{'text': ' ""VPN connection failed', 'answer_start': -1}"
Failed to establish a secure connection via VPN,What is the main issue reported?,"{'text': ' ""VPN connection failed', 'answer_start': -1}"
VPN error due to incorrect server details,What is the main issue reported?,"{'text': ' ""VPN connection failed', 'answer_start': -1}"
Remote access denied by VPN gateway,What is the main issue reported?,"{'text': ' ""VPN connection failed', 'answer_start': -1}"
Notification to free up disk space on C:,What is the main issue reported?,"{'text': ' ""hard drive is full', 'answer_start': -1}"
"User unable to download files, disk space low",What is the main issue reported?,"{'text': ' ""hard drive is full', 'answer_start': -1}"
Insufficient storage warning when installing apps,What is the main issue reported?,"{'text': ' ""hard drive is full', 'answer_start': -1}"
"Hard drive capacity exceeded, system slow",What is the main issue reported?,"{'text': ' ""hard drive is full', 'answer_start': -1}"
Laptop overheating and shutting down frequently,What is the main issue reported?,"{'text': ' ""system overheating', 'answer_start': -1}"
"Server room temperature too high, affecting performance",What is the main issue reported?,"{'text': ' ""system overheating', 'answer_start': -1}"
"Computer fan running constantly, overheating issue",What is the main issue reported?,"{'text': ' ""system overheating', 'answer_start': -1}"
Graphics workstation overheats during rendering,What is the main issue reported?,"{'text': ' ""system overheating', 'answer_start': -1}"
"Password forgotten, cannot access company portal",What is the main issue reported?,"{'text': ' ""forgotten password', 'answer_start': -1}"
User unable to log in after forgetting password,What is the main issue reported?,"{'text': ' ""forgotten password', 'answer_start': -1}"
Password retrieval not working for email,What is the main issue reported?,"{'text': ' ""forgotten password', 'answer_start': -1}"
Forgot password for encrypted file,What is the main issue reported?,"{'text': ' ""forgotten password', 'answer_start': -1}"
Software crashes when opening large files,What is the main issue reported?,"{'text': ' ""frequent software crashes', 'answer_start': -1}"
Application repeatedly crashes during startup,What is the main issue reported?,"{'text': ' ""frequent software crashes', 'answer_start': -1}"
Program stops responding with complex operations,What is the main issue reported?,"{'text': ' ""frequent software crashes', 'answer_start': -1}"
Frequent crashes during data processing tasks,What is the main issue reported?,"{'text': ' ""frequent software crashes', 'answer_start': -1}"
Computer slows down with multiple programs open,What is the main issue reported?,"{'text': ' ""slow computer performance', 'answer_start': -1}"
Performance lag during multitasking on PC,What is the main issue reported?,"{'text': ' ""slow computer performance', 'answer_start': -1}"
Old computer struggles with new software updates,What is the main issue reported?,"{'text': ' ""slow computer performance', 'answer_start': -1}"
"System slowdown, possibly due to malware",What is the main issue reported?,"{'text': ' ""slow computer performance', 'answer_start': -1}"
Tablet won't connect to home Wi-Fi network,What is the main issue reported?,"{'text': ' ""mobile device not connecting to WiFi', 'answer_start': -1}"
Smartphone loses Wi-Fi connection in certain areas,What is the main issue reported?,"{'text': ' ""mobile device not connecting to WiFi', 'answer_start': -1}"
Wi-Fi not showing up on laptop,What is the main issue reported?,"{'text': ' ""mobile device not connecting to WiFi', 'answer_start': -1}"
Mobile phone intermittent Wi-Fi connectivity,What is the main issue reported?,"{'text': ' ""mobile device not connecting to WiFi', 'answer_start': -1}"
File format not supported error when opening document,What is the main issue reported?,"{'text': ' ""unable to open a file', 'answer_start': -1}"
"Document corrupted, cannot be opened",What is the main issue reported?,"{'text': ' ""unable to open a file', 'answer_start': -1}"
Cannot open downloaded file from email,What is the main issue reported?,"{'text': ' ""unable to open a file', 'answer_start': -1}"
Error opening file on external drive,What is the main issue reported?,"{'text': ' ""unable to open a file', 'answer_start': -1}"
Keyboard keys sticking or not registering presses,What is the main issue reported?,"{'text': ' ""keyboard malfunction', 'answer_start': -1}"
Bluetooth keyboard intermittently disconnecting,What is the main issue reported?,"{'text': ' ""keyboard malfunction', 'answer_start': -1}"
Wireless keyboard not working after battery change,What is the main issue reported?,"{'text': ' ""keyboard malfunction', 'answer_start': -1}"
Keyboard spill causing keys to malfunction,What is the main issue reported?,"{'text': ' ""keyboard malfunction', 'answer_start': -1}"
Mouse cursor freezes on screen,What is the main issue reported?,"{'text': ' ""mouse not working', 'answer_start': -1}"
Wireless mouse not responding,What is the main issue reported?,"{'text': ' ""mouse not working', 'answer_start': -1}"
Optical mouse not tracking movements,What is the main issue reported?,"{'text': ' ""mouse not working', 'answer_start': -1}"
Mouse wheel not scrolling pages,What is the main issue reported?,"{'text': ' ""mouse not working', 'answer_start': -1}"
Blue screen of death appears after update,What is the main issue reported?,"{'text': ' ""blue screen of death', 'answer_start': -1}"
Unexpected blue screen during video editing,What is the main issue reported?,"{'text': ' ""blue screen of death', 'answer_start': -1}"
PC crashes with blue screen while gaming,What is the main issue reported?,"{'text': ' ""blue screen of death', 'answer_start': -1}"
Frequent blue screen errors on old laptop,What is the main issue reported?,"{'text': ' ""blue screen of death', 'answer_start': -1}"
No audio output from speakers,What is the main issue reported?,"{'text': ' ""no sound from computer', 'answer_start': -1}"
Headphone jack not working on desktop,What is the main issue reported?,"{'text': ' ""no sound from computer', 'answer_start': -1}"
"Sound card failure, no audio on PC",What is the main issue reported?,"{'text': ' ""no sound from computer', 'answer_start': -1}"
"Computer mute button stuck, no sound",What is the main issue reported?,"{'text': ' ""no sound from computer', 'answer_start': -1}"
Media player won't play MP4 files,What is the main issue reported?,"{'text': ' ""video not playing', 'answer_start': -1}"
Error message when trying to play video file,What is the main issue reported?,"{'text': ' ""video not playing', 'answer_start': -1}"
"Video streaming stops midway, file format issue",What is the main issue reported?,"{'text': ' ""video not playing', 'answer_start': -1}"
Video codec not supported on system,What is the main issue reported?,"{'text': ' ""video not playing', 'answer_start': -1}"
Continuous popup ads on browser,What is the main issue reported?,"{'text': ' ""popup ads are frequent', 'answer_start': -1}"
Adware causing frequent pop-ups during browsing,What is the main issue reported?,"{'text': ' ""popup ads are frequent', 'answer_start': -1}"
Unexpected pop-up ads on startup,What is the main issue reported?,"{'text': ' ""popup ads are frequent', 'answer_start': -1}"
"Pop-up blocker failing, ads keep appearing",What is the main issue reported?,"{'text': ' ""popup ads are frequent', 'answer_start': -1}"
Cannot connect to network printer from laptop,What is the main issue reported?,"{'text': ' ""cannot print to network printer', 'answer_start': -1}"
Network printer not found by office PCs,What is the main issue reported?,"{'text': ' ""cannot print to network printer', 'answer_start': -1}"
Documents sent to network printer do not print,What is the main issue reported?,"{'text': ' ""cannot print to network printer', 'answer_start': -1}"
Printer connection lost on network,What is the main issue reported?,"{'text': ' ""cannot print to network printer', 'answer_start': -1}"
File recovery failed after system crash,What is the main issue reported?,"{'text': ' ""lost data', 'answer_start': -1}"
Accidental deletion of important documents,What is the main issue reported?,"{'text': ' ""lost data', 'answer_start': -1}"
Hard drive failure resulted in data loss,What is the main issue reported?,"{'text': ' ""lost data', 'answer_start': -1}"
"Database corrupted, critical data lost",What is the main issue reported?,"{'text': ' ""lost data', 'answer_start': -1}"
Duplicate IP address error on network,What is the main issue reported?,"{'text': ' ""duplicate IP address conflict', 'answer_start': -1}"
"IP conflict detected, multiple devices affected",What is the main issue reported?,"{'text': ' ""duplicate IP address conflict', 'answer_start': -1}"
Network error due to duplicate IP addresses,What is the main issue reported?,"{'text': ' ""duplicate IP address conflict', 'answer_start': -1}"
"Two devices assigned the same IP, causing conflict",What is the main issue reported?,"{'text': ' ""duplicate IP address conflict', 'answer_start': -1}"
"Unable to access website, seems down",What is the main issue reported?,"{'text': ' ""website not loading', 'answer_start': -1}"
Website loading slowly or not at all,What is the main issue reported?,"{'text': ' ""website not loading', 'answer_start': -1}"
Site timeout errors repeatedly occurring,What is the main issue reported?,"{'text': ' ""website not loading', 'answer_start': -1}"
"Web page unavailable, might be server issues",What is the main issue reported?,"{'text': ' ""website not loading', 'answer_start': -1}"
Application blocked by firewall settings,What is the main issue reported?,"{'text': ' ""firewall blocking application', 'answer_start': -1}"
Firewall prevents software from accessing the network,What is the main issue reported?,"{'text': ' ""firewall blocking application', 'answer_start': -1}"
Game installation blocked by firewall,What is the main issue reported?,"{'text': ' ""firewall blocking application', 'answer_start': -1}"
Firewall settings stopping app updates,What is the main issue reported?,"{'text': ' ""firewall blocking application', 'answer_start': -1}"
"Antivirus software out of date, cannot update",What is the main issue reported?,"{'text': ' ""outdated antivirus software', 'answer_start': -1}"
Security risks due to old antivirus software,What is the main issue reported?,"{'text': ' ""outdated antivirus software', 'answer_start': -1}"
Cannot activate antivirus; license expired,What is the main issue reported?,"{'text': ' ""outdated antivirus software', 'answer_start': -1}"
"Antivirus not updating, version too old",What is the main issue reported?,"{'text': ' ""outdated antivirus software', 'answer_start': -1}"
